,Date,Stock_Code,Open,Close,High,Low,Volume,Amount_100M,Amplitude,Price_Change_percent,Price_Change,Turnover_Rate
0,2025-04-10,300750,221.00,217.98,222.79,215.46,372741,81.69,3.47,3.12,6.59,0.96
1,2025-04-09,300750,212.92,211.39,218.75,210.09,536023,114.60,3.95,-3.50,-7.66,1.37
2,2025-04-08,300750,219.95,219.05,225.00,216.40,476594,104.72,4.00,1.78,3.83,1.22
3,2025-04-07,300750,226.09,217.81,230.00,212.00,428111,94.33,7.40,-10.40,-25.27,1.10
4,2025-04-03,300750,245.00,243.08,247.70,242.55,232816,56.94,2.07,-2.43,-6.06,0.60
5,2025-04-02,300750,250.20,249.14,252.46,247.56,137321,34.33,1.97,0.03,0.08,0.35
6,2025-04-01,300750,252.94,249.06,254.50,248.58,194162,48.62,2.34,-1.53,-3.88,0.50
7,2025-03-31,300750,256.06,252.94,257.98,252.12,194634,49.52,2.28,-1.50,-3.86,0.50
8,2025-03-28,300750,256.11,256.80,258.88,255.80,112421,28.89,1.19,-0.80,-2.08,0.29
9,2025-03-27,300750,256.19,258.88,262.80,254.25,141792,36.76,3.33,0.76,1.96,0.36
10,2025-03-26,300750,259.40,256.92,262.70,256.70,129046,33.36,2.31,-0.99,-2.56,0.33
11,2025-03-25,300750,257.71,259.48,260.00,255.29,127858,33.03,1.82,0.51,1.32,0.33
12,2025-03-24,300750,257.70,258.16,258.98,256.28,167302,43.12,1.05,0.84,2.16,0.43
13,2025-03-21,300750,262.68,256.00,264.53,255.67,194320,50.26,3.38,-2.35,-6.15,0.50
14,2025-03-20,300750,265.39,262.15,266.50,261.02,144247,37.94,2.06,-1.22,-3.24,0.37
15,2025-03-19,300750,257.20,265.39,266.97,256.78,369541,97.37,3.96,3.26,8.39,0.95
16,2025-03-18,300750,258.00,257.00,260.78,255.50,225767,58.18,2.06,0.39,1.00,0.58
17,2025-03-17,300750,263.10,256.00,265.47,255.74,335155,86.86,3.71,-2.29,-6.00,0.86
18,2025-03-14,300750,253.00,262.00,264.85,252.65,351089,91.48,4.82,3.47,8.78,0.90
19,2025-03-13,300750,254.00,253.22,259.20,253.00,168852,43.17,2.44,-0.50,-1.28,0.43
20,2025-03-12,300750,256.01,254.50,256.62,251.49,199147,50.59,2.01,-0.27,-0.70,0.51
21,2025-03-11,300750,253.07,255.20,255.50,253.05,171351,43.56,0.96,-0.51,-1.30,0.44
22,2025-03-10,300750,261.80,256.50,261.86,253.61,286751,73.55,3.16,-1.63,-4.26,0.73
23,2025-03-07,300750,262.96,260.76,263.58,258.68,222871,58.13,1.85,-1.34,-3.55,0.57
24,2025-03-06,300750,262.25,264.31,265.53,261.00,250273,66.01,1.74,1.27,3.32,0.64
25,2025-03-05,300750,263.00,260.99,263.89,258.50,208696,54.39,2.05,-0.76,-2.01,0.53
26,2025-03-04,300750,270.00,263.00,271.00,262.73,268365,71.15,3.02,-3.85,-10.53,0.69
27,2025-03-03,300750,265.00,273.53,279.30,262.24,387364,106.03,6.45,3.49,9.23,0.99
28,2025-02-28,300750,269.60,264.30,271.31,263.61,222655,59.35,2.85,-2.11,-5.70,0.57
29,2025-02-27,300750,270.27,270.00,271.70,267.67,231851,62.51,1.50,0.51,1.38,0.59
30,2025-02-26,300750,271.45,268.62,272.88,267.18,211731,56.99,2.12,-0.32,-0.86,0.54
31,2025-02-25,300750,267.48,269.48,274.00,264.51,232094,62.44,3.50,-0.74,-2.02,0.59
32,2025-02-24,300750,273.01,271.50,274.70,268.16,277538,75.11,2.37,-1.47,-4.05,0.71
33,2025-02-21,300750,268.58,275.55,276.88,267.78,309519,84.44,3.37,1.98,5.35,0.79
