,date,stock_code,open,close,high,low,volume,MA5,MA20,MA60,RSI,MACD,Signal_Line,MACD_hist,BB_upper,BB_middle,BB_lower,Volume_MA,Volume_Ratio,ATR,Volatility,ROC,MACD_signal,RSI_signal
0,2025-04-03,300750,245.00,243.08,247.70,242.55,232816.00,250.20,256.16,258.52,34.95,-3.43,-1.99,-1.44,266.36,256.16,245.96,205322.15,1.13,6.30,2.59,-7.27,死叉,中性
1,2025-04-02,300750,250.20,249.14,252.46,247.56,137321.00,253.36,257.22,258.88,39.78,-2.64,-1.63,-1.01,266.01,257.22,248.43,206195.00,0.67,6.70,2.69,-6.12,死叉,中性
2,2025-04-01,300750,252.94,249.06,254.50,248.58,194162.00,254.92,257.81,259.15,39.67,-2.22,-1.38,-0.84,265.88,257.81,249.75,209763.75,0.93,6.79,2.73,-3.09,死叉,中性
3,2025-03-31,300750,256.06,252.94,257.98,252.12,194634.00,257.00,258.51,259.35,42.95,-1.63,-1.17,-0.46,265.76,258.51,251.26,213473.90,0.91,6.73,2.66,-1.20,死叉,中性
4,2025-03-28,300750,256.11,256.80,258.88,255.80,112421.00,258.05,259.54,259.47,46.51,-1.26,-1.05,-0.21,268.97,259.54,250.11,223110.40,0.50,6.56,2.55,-1.98,死叉,中性
5,2025-03-27,300750,256.19,258.88,262.80,254.25,141792.00,257.89,259.91,259.63,48.52,-1.17,-1.00,-0.16,269.49,259.91,250.34,228622.10,0.62,6.93,2.68,2.24,死叉,中性
6,2025-03-26,300750,259.40,256.92,262.70,256.70,129046.00,258.54,260.47,259.77,46.49,-1.23,-0.96,-0.27,271.03,260.47,249.91,233125.05,0.55,6.72,2.62,0.95,死叉,中性
7,2025-03-25,300750,257.71,259.48,260.00,255.29,127858.00,260.24,261.06,259.86,48.82,-1.10,-0.89,-0.21,272.07,261.06,250.04,237259.30,0.54,6.62,2.55,1.68,死叉,中性
8,2025-03-24,300750,257.70,258.16,258.98,256.28,167302.00,259.74,261.56,259.89,47.56,-1.18,-0.84,-0.34,273.16,261.56,249.95,242471.10,0.69,6.67,2.58,0.65,死叉,中性
9,2025-03-21,300750,262.68,256.00,264.53,255.67,194320.00,259.31,262.22,260.06,45.53,-1.13,-0.75,-0.38,274.52,262.22,249.92,247982.90,0.78,7.22,2.82,-1.83,死叉,中性
10,2025-03-20,300750,265.39,262.15,266.50,261.02,144247.00,260.51,263.20,260.30,50.72,-0.83,-0.66,-0.17,276.48,263.20,249.92,253742.85,0.57,7.81,2.98,-0.82,死叉,中性
11,2025-03-19,300750,257.20,265.39,266.97,256.78,369541.00,258.72,263.60,260.47,53.72,-1.06,-0.61,-0.45,277.24,263.60,249.97,256325.00,1.44,7.97,3.00,1.69,死叉,中性
12,2025-03-18,300750,258.00,257.00,260.78,255.50,225767.00,256.54,264.01,260.48,46.06,-1.67,-0.50,-1.17,278.34,264.01,249.68,248070.70,0.91,7.53,2.93,-2.28,死叉,中性
13,2025-03-17,300750,263.10,256.00,265.47,255.74,335155.00,256.18,264.70,260.63,45.05,-1.57,-0.21,-1.36,278.93,264.70,250.46,248705.25,1.35,7.56,2.95,-6.41,死叉,中性
