,date,stock_code,open,close,high,low,volume,MA5,MA20,MA60,RSI,MACD,Signal_Line,MACD_hist,BB_upper,BB_middle,BB_lower,Volume_MA,Volume_Ratio,ATR,Volatility,ROC,MACD_signal,RSI_signal
0,2025-04-03,002594,355.50,357.51,361.53,354.26,101023.00,368.18,371.07,334.53,46.03,4.84,9.01,-4.17,401.10,371.07,341.05,140666.35,0.72,11.76,3.29,-10.62,死叉,中性
1,2025-04-02,002594,365.00,360.50,365.67,358.88,117100.00,373.98,371.14,333.28,47.45,6.53,10.05,-3.51,401.04,371.14,341.25,141345.25,0.83,12.86,3.57,-9.21,死叉,中性
2,2025-04-01,002594,377.77,365.50,377.87,364.36,154072.00,377.08,370.82,332.02,49.84,8.30,10.93,-2.63,401.34,370.82,340.30,142443.70,1.08,12.83,3.51,-4.96,死叉,中性
3,2025-03-31,002594,380.00,374.90,383.28,374.00,115784.00,377.90,369.78,330.70,54.63,9.92,11.59,-1.67,402.39,369.78,337.18,147912.75,0.78,12.54,3.34,-1.41,死叉,中性
4,2025-03-28,002594,386.50,382.50,390.80,381.50,114940.00,377.99,369.05,329.20,58.88,10.88,12.00,-1.12,401.83,369.05,336.27,149727.45,0.77,12.37,3.23,1.74,死叉,中性
5,2025-03-27,002594,376.10,386.50,391.28,376.09,144394.00,375.89,368.02,327.59,61.21,11.18,12.28,-1.10,400.31,368.02,335.72,155945.65,0.93,12.30,3.18,9.03,死叉,中性
6,2025-03-26,002594,369.59,376.01,379.00,368.00,120205.00,378.59,367.47,325.95,57.08,10.99,12.56,-1.57,398.80,367.47,336.13,157148.25,0.76,11.62,3.09,7.13,死叉,中性
7,2025-03-25,002594,377.98,369.59,379.60,368.98,123085.00,382.80,367.27,324.37,54.31,11.66,12.95,-1.29,398.43,367.27,336.11,158064.45,0.78,11.43,3.09,5.48,死叉,中性
8,2025-03-24,002594,377.00,375.36,378.50,367.86,147894.00,385.80,367.42,322.88,57.40,13.00,13.27,-0.27,398.64,367.42,336.19,159965.35,0.92,11.41,3.04,6.94,死叉,中性
9,2025-03-21,002594,393.01,372.00,393.31,370.00,282107.00,386.78,367.46,321.38,56.05,13.93,13.34,0.59,398.74,367.46,336.18,162541.00,1.74,12.23,3.29,4.38,金叉,中性
10,2025-03-20,002594,400.00,399.99,403.40,395.99,159413.00,387.56,368.01,319.92,74.26,15.26,13.19,2.07,400.01,368.01,336.02,160400.25,0.99,10.96,2.74,11.44,金叉,超买
11,2025-03-19,002594,384.53,397.07,399.00,382.54,188352.00,378.47,366.15,317.97,73.42,13.88,12.68,1.21,394.43,366.15,337.87,160276.45,1.18,11.61,2.92,12.18,金叉,超买
12,2025-03-18,002594,388.55,384.57,390.00,380.01,173339.00,369.25,364.22,315.93,69.48,12.22,12.37,-0.15,388.62,364.22,339.83,158954.75,1.09,11.36,2.95,11.52,死叉,中性
13,2025-03-17,002594,382.32,380.25,383.00,375.96,133069.00,362.41,362.81,314.13,67.95,11.19,12.41,-1.22,385.45,362.81,340.16,162877.65,0.82,11.42,3.00,5.56,死叉,中性
14,2025-03-14,002594,357.00,375.94,377.18,355.62,224697.00,356.56,361.22,312.52,66.40,10.16,12.72,-2.55,383.16,361.22,339.28,167824.95,1.34,11.71,3.12,3.90,死叉,中性
15,2025-03-13,002594,351.87,354.50,357.36,351.13,102211.00,352.66,360.22,310.94,56.68,9.13,13.35,-4.22,381.13,360.22,339.32,168772.35,0.61,11.18,3.15,-5.59,死叉,中性
16,2025-03-12,002594,354.45,351.00,359.88,351.00,129511.00,353.54,359.56,309.74,54.69,9.87,14.41,-4.54,382.01,359.56,337.12,173653.80,0.75,12.42,3.54,-5.67,死叉,中性
17,2025-03-11,002594,345.00,350.38,351.77,344.88,95370.00,354.13,359.27,308.56,54.35,11.03,15.54,-4.51,382.34,359.27,336.19,181146.10,0.53,12.42,3.54,-5.94,死叉,中性
18,2025-03-10,002594,355.90,351.00,357.39,349.00,99177.00,353.03,358.24,307.39,54.74,12.41,16.67,-4.27,384.56,358.24,331.92,190395.80,0.52,12.42,3.54,-6.72,死叉,中性
19,2025-03-07,002594,358.90,356.40,361.00,355.24,87584.00,354.87,357.20,306.13,58.07,13.92,17.74,-3.82,386.24,357.20,328.15,199072.50,0.44,12.89,3.62,-6.95,死叉,中性
20,2025-03-06,002594,360.18,358.93,362.17,357.00,114601.00,355.95,355.72,304.86,59.65,15.10,18.69,-3.59,387.78,355.72,323.67,219047.05,0.52,13.50,3.76,-1.06,死叉,中性
21,2025-03-05,002594,347.00,353.96,355.19,347.00,139069.00,359.27,353.33,303.59,57.54,16.14,19.59,-3.45,391.02,353.33,315.64,232389.95,0.60,14.22,4.02,-1.27,死叉,中性
22,2025-03-04,002594,340.03,344.84,348.00,338.03,263453.00,362.89,349.77,302.39,53.39,17.72,20.45,-2.73,398.91,349.77,300.63,232704.05,1.13,13.97,4.05,-3.19,死叉,中性
23,2025-03-03,002594,369.00,360.21,370.00,357.79,152078.00,368.42,346.26,301.23,63.04,20.42,21.14,-0.72,405.84,346.26,286.67,222701.80,0.68,14.13,3.92,3.36,死叉,中性
24,2025-02-28,002594,371.10,361.82,374.77,359.01,239304.00,371.64,342.20,299.80,64.17,22.00,21.32,0.68,408.46,342.20,275.94,218505.10,1.10,14.27,3.94,1.62,金叉,中性
25,2025-02-27,002594,382.00,375.50,383.99,371.01,168446.00,375.87,337.96,298.45,74.72,23.53,21.14,2.39,409.56,337.96,266.37,211348.60,0.80,13.84,3.69,10.02,金叉,超买
26,2025-02-26,002594,372.49,372.10,375.80,365.00,138529.00,373.33,333.31,296.88,73.73,23.75,20.55,3.21,406.70,333.31,259.93,206979.15,0.67,14.26,3.83,7.84,金叉,超买
27,2025-02-25,002594,370.00,372.49,380.00,368.81,161103.00,370.61,329.01,295.39,74.04,24.04,19.75,4.29,402.91,329.01,255.11,203874.75,0.79,15.54,4.17,12.91,金叉,超买
28,2025-02-24,002594,385.00,376.28,388.66,373.48,199407.00,367.36,324.61,293.83,76.97,24.01,18.67,5.34,398.09,324.61,251.12,202609.45,0.98,15.61,4.15,13.98,金叉,超买
29,2025-02-21,002594,366.00,383.00,386.50,365.23,239292.00,361.80,319.62,292.32,82.33,23.24,17.34,5.90,391.86,319.62,247.39,196946.20,1.22,14.93,3.90,17.16,金叉,超买
30,2025-02-20,002594,363.48,362.78,367.66,358.20,156937.00,356.41,314.11,290.75,78.06,21.23,15.86,5.37,382.72,314.11,245.50,188610.20,0.83,13.56,3.74,16.62,金叉,超买
31,2025-02-19,002594,353.52,358.50,360.00,353.00,161918.00,352.11,309.71,289.50,76.96,20.42,14.52,5.90,376.45,309.71,242.97,183880.15,0.88,13.45,3.75,26.77,金叉,超买
32,2025-02-18,002594,351.40,356.22,363.48,348.84,251797.00,349.42,305.60,288.34,76.38,19.53,13.04,6.49,369.76,305.60,241.44,182073.75,1.38,13.42,3.77,29.77,金叉,超买
33,2025-02-17,002594,356.05,348.50,358.80,344.50,232015.00,344.16,301.09,287.23,74.34,18.33,11.42,6.91,362.91,301.09,239.27,172844.60,1.34,12.66,3.63,24.87,金叉,超买
34,2025-02-14,002594,341.52,356.05,359.60,341.52,243645.00,340.49,296.96,286.34,80.67,17.33,9.69,7.64,356.42,296.96,237.50,165271.25,1.47,12.35,3.47,28.49,金叉,超买
35,2025-02-13,002594,341.20,341.30,346.35,339.50,199840.00,334.66,292.63,285.41,77.14,15.03,7.78,7.24,346.31,292.63,238.95,156369.65,1.28,11.52,3.37,20.81,金叉,超买
36,2025-02-12,002594,327.50,345.05,346.94,322.65,279357.00,328.61,289.02,284.74,80.62,13.37,5.97,7.39,338.46,289.02,239.59,151831.75,1.84,11.51,3.34,20.63,金叉,超买
37,2025-02-11,002594,339.30,329.90,340.30,326.01,280364.00,316.16,285.47,283.97,76.67,10.68,4.13,6.55,327.63,285.47,243.31,142650.00,1.97,9.98,3.03,15.99,金叉,超买
38,2025-02-10,002594,326.91,330.13,332.00,321.58,272711.00,305.08,282.54,283.44,76.89,8.63,2.49,6.14,319.53,282.54,245.56,132754.15,2.05,9.76,2.96,19.35,金叉,超买
39,2025-02-07,002594,320.00,326.90,330.00,314.00,487075.00,294.87,279.57,282.97,75.99,5.87,0.95,4.92,309.29,279.57,249.85,124086.85,3.93,9.46,2.89,19.85,金叉,超买
40,2025-02-06,002594,282.81,311.08,311.08,282.45,381459.00,284.91,276.78,282.53,70.81,2.59,-0.28,2.86,296.64,276.78,256.93,108172.30,3.53,8.51,2.73,13.25,金叉,超买
41,2025-02-05,002594,282.73,282.80,286.75,281.60,145351.00,279.20,275.36,282.47,54.51,-0.03,-0.99,0.96,287.41,275.36,263.31,92980.35,1.56,6.82,2.41,2.35,金叉,中性
42,2025-01-27,002594,279.09,274.50,280.12,274.50,63408.00,279.85,275.47,282.87,46.35,-0.49,-1.23,0.74,287.84,275.47,263.10,89860.15,0.71,6.53,2.38,3.20,金叉,中性
43,2025-01-24,002594,276.51,279.08,280.50,276.00,68144.00,281.83,276.06,283.13,51.04,-0.23,-1.42,1.19,289.33,276.06,262.79,90623.90,0.75,6.86,2.46,4.91,金叉,中性
44,2025-01-23,002594,284.98,277.11,285.00,277.00,96174.00,281.34,276.35,283.37,48.98,-0.35,-1.72,1.37,290.14,276.35,262.56,90596.95,1.06,6.89,2.49,2.87,金叉,中性
45,2025-01-22,002594,285.00,282.50,286.30,279.80,81057.00,280.47,276.79,283.84,54.85,-0.30,-2.06,1.75,291.23,276.79,262.35,89957.80,0.90,6.77,2.40,4.95,金叉,中性
46,2025-01-21,002594,285.00,286.05,287.43,283.00,76441.00,278.91,277.08,284.22,59.19,-0.79,-2.50,1.71,292.24,277.08,261.93,93019.30,0.82,7.28,2.55,4.39,金叉,中性
47,2025-01-20,002594,279.00,284.43,286.43,278.92,135797.00,276.96,276.82,284.54,57.78,-1.75,-2.92,1.17,291.49,276.82,262.15,93273.05,1.46,7.29,2.56,4.85,金叉,中性
48,2025-01-17,002594,273.52,276.60,279.20,272.48,86142.00,273.27,276.61,284.94,49.99,-2.80,-3.22,0.42,290.93,276.61,262.28,91318.55,0.94,7.03,2.54,2.17,金叉,中性
49,2025-01-16,002594,274.70,272.76,277.33,270.53,72572.00,271.15,277.05,285.39,45.41,-3.30,-3.32,0.02,291.90,277.05,262.19,91347.90,0.79,6.87,2.52,0.61,金叉,中性
50,2025-01-15,002594,276.20,274.69,277.31,274.50,62336.00,270.48,277.64,285.99,47.44,-3.49,-3.33,-0.16,292.72,277.64,262.56,91924.60,0.68,6.59,2.40,-2.82,死叉,中性
51,2025-01-14,002594,266.34,276.30,277.15,266.01,125790.00,269.38,278.05,286.49,49.14,-3.88,-3.29,-0.60,293.23,278.05,262.86,97591.90,1.29,6.79,2.46,-3.05,死叉,中性
52,2025-01-13,002594,263.00,266.00,268.47,262.21,67214.00,268.92,277.98,286.99,35.37,-4.49,-3.14,-1.36,293.21,277.98,262.75,94876.90,0.71,6.66,2.51,-7.08,死叉,中性
53,2025-01-10,002594,269.00,266.02,270.39,264.78,80548.00,269.98,278.50,287.56,35.38,-4.16,-2.80,-1.36,292.68,278.50,264.32,97134.15,0.83,6.53,2.46,-6.61,死叉,中性
54,2025-01-09,002594,269.00,269.39,271.70,266.66,65613.00,270.92,279.39,287.95,38.31,-3.67,-2.46,-1.21,292.45,279.39,266.33,98113.45,0.67,6.60,2.45,-5.78,死叉,中性
55,2025-01-08,002594,272.99,269.18,273.99,265.81,109082.00,271.26,279.96,288.29,38.01,-3.34,-2.15,-1.18,292.15,279.96,267.77,99500.80,1.10,6.73,2.50,-6.67,死叉,中性
56,2025-01-07,002594,271.28,274.03,277.73,267.50,95722.00,273.96,280.62,288.77,42.39,-2.84,-1.86,-0.98,291.75,280.62,269.50,102843.15,0.93,6.45,2.35,-2.38,死叉,中性
57,2025-01-06,002594,271.94,271.28,273.89,269.03,82447.00,276.15,280.95,289.32,38.67,-2.66,-1.61,-1.05,291.63,280.95,270.27,102664.70,0.80,6.55,2.42,-3.18,死叉,中性
58,2025-01-03,002594,271.50,270.73,274.59,268.24,99365.00,279.15,281.40,289.80,37.93,-2.12,-1.35,-0.76,291.07,281.40,271.72,104777.25,0.95,6.54,2.41,-5.14,死叉,中性
59,2025-01-02,002594,283.00,271.10,283.08,269.42,168784.00,281.98,281.62,290.56,38.22,-1.33,-1.16,-0.17,290.42,281.62,272.82,104322.40,1.62,6.60,2.43,-4.76,死叉,中性
60,2024-12-31,002594,285.00,282.66,286.50,282.00,77620.00,284.94,282.07,291.13,49.08,-0.35,-1.12,0.77,289.41,282.07,274.73,100133.85,0.78,6.00,2.12,-0.05,金叉,中性
61,2024-12-30,002594,287.20,284.99,289.50,283.33,82947.00,286.09,282.07,291.88,51.84,-0.27,-1.31,1.04,289.40,282.07,274.73,100825.35,0.82,6.00,2.11,3.65,金叉,中性
62,2024-12-27,002594,286.80,286.28,287.55,283.00,78683.00,285.24,281.94,292.25,53.38,-0.39,-1.57,1.18,289.15,281.94,274.73,104245.85,0.75,6.52,2.28,3.53,金叉,中性
63,2024-12-26,002594,285.92,284.86,286.80,284.00,67605.00,284.02,281.37,292.21,51.92,-0.68,-1.87,1.18,288.93,281.37,273.80,106711.95,0.63,6.65,2.33,0.42,金叉,中性
64,2024-12-25,002594,288.73,285.92,291.36,285.70,83391.00,284.13,280.85,291.96,53.07,-0.90,-2.16,1.26,288.81,280.85,272.90,111261.15,0.75,7.02,2.45,1.83,金叉,中性
65,2024-12-24,002594,279.89,288.42,288.51,279.13,142287.00,283.87,280.61,291.57,55.78,-1.27,-2.48,1.21,288.20,280.61,273.01,112591.75,1.26,7.02,2.43,2.08,金叉,中性
66,2024-12-23,002594,280.50,280.70,283.29,278.88,81516.00,282.75,280.23,291.00,48.19,-1.97,-2.78,0.81,286.88,280.23,273.58,110237.70,0.74,6.67,2.38,0.07,金叉,中性
67,2024-12-20,002594,285.01,280.20,286.75,280.20,96707.00,281.60,280.35,,47.65,-2.06,-2.98,0.92,287.11,280.35,273.59,114888.55,0.84,6.74,2.40,-0.03,金叉,中性
68,2024-12-19,002594,281.81,285.40,286.94,280.00,86729.00,280.86,280.26,,52.99,-2.09,-3.21,1.12,287.08,280.26,273.45,116310.30,0.75,6.98,2.44,3.68,金叉,中性
69,2024-12-18,002594,283.25,284.65,286.88,282.63,84106.00,280.52,280.29,,52.27,-2.63,-3.49,0.86,287.21,280.29,273.38,116750.50,0.72,6.90,2.42,1.67,金叉,中性
70,2024-12-17,002594,274.92,282.80,285.66,273.98,175682.00,279.74,280.48,,50.54,-3.20,-3.71,0.51,288.08,280.48,272.89,117846.05,1.49,7.21,2.55,0.05,金叉,中性
71,2024-12-16,002594,276.52,274.95,278.18,273.58,71490.00,279.69,280.74,,42.32,-3.70,-3.83,0.14,289.00,280.74,272.49,115659.30,0.62,6.66,2.42,-2.64,金叉,中性
72,2024-12-13,002594,281.33,276.51,281.62,276.42,112359.00,280.80,281.43,,43.66,-3.48,-3.87,0.39,289.94,281.43,272.93,117895.10,0.95,6.91,2.50,0.61,金叉,中性
73,2024-12-12,002594,280.10,283.68,283.68,278.40,100134.00,281.55,282.11,,50.48,-3.30,-3.97,0.66,291.09,282.11,273.12,119938.95,0.83,7.17,2.53,3.31,金叉,中性
74,2024-12-11,002594,282.03,280.77,283.87,279.40,93360.00,279.87,282.66,,47.38,-3.76,-4.13,0.37,293.27,282.66,272.05,121161.40,0.77,7.36,2.62,-0.08,金叉,中性
75,2024-12-10,002594,293.00,282.55,294.00,282.00,175929.00,279.71,283.65,,49.13,-4.00,-4.23,0.23,296.89,283.65,270.41,123749.20,1.42,7.36,2.61,0.55,金叉,中性
76,2024-12-09,002594,279.23,280.49,283.99,277.68,92153.00,279.73,284.56,,47.03,-4.42,-4.28,-0.14,299.84,284.56,269.28,127280.60,0.72,6.75,2.41,-0.89,死叉,中性
77,2024-12-06,002594,275.67,280.28,281.98,274.01,124698.00,280.11,285.50,,46.82,-4.69,-4.25,-0.45,301.99,285.50,269.01,131715.90,0.95,6.97,2.49,0.64,死叉,中性
78,2024-12-05,002594,277.19,275.26,278.48,274.31,90268.00,279.02,286.38,,41.76,-4.94,-4.14,-0.81,303.57,286.38,269.20,133816.80,0.67,6.85,2.49,-3.76,死叉,中性
79,2024-12-04,002594,281.34,279.98,283.33,278.80,85013.00,278.89,287.71,,45.55,-4.68,-3.93,-0.75,305.37,287.71,270.05,136837.20,0.62,7.00,2.50,-2.94,死叉,中性
80,2024-12-03,002594,284.80,282.65,285.88,280.58,91450.00,279.09,288.73,,47.83,-4.76,-3.75,-1.02,306.85,288.73,270.60,141829.60,0.64,7.15,2.53,-1.85,死叉,中性
81,2024-12-02,002594,276.61,282.40,284.00,274.08,151357.00,278.76,289.97,,47.60,-5.07,-3.49,-1.58,309.68,289.97,270.26,145648.10,1.04,7.20,2.55,-2.18,死叉,中性
82,2024-11-29,002594,273.00,274.83,277.88,272.05,128005.00,278.88,291.20,,40.26,-5.36,-3.10,-2.26,311.96,291.20,270.44,148946.20,0.86,7.26,2.64,-5.23,死叉,中性
83,2024-11-28,002594,281.20,274.58,281.56,273.00,158589.00,279.62,291.97,,40.01,-4.88,-2.53,-2.35,311.27,291.97,272.68,149698.00,1.06,7.33,2.67,-6.84,死叉,中性
84,2024-11-27,002594,279.28,281.00,281.00,277.00,110003.00,281.90,292.90,,44.59,-4.17,-1.94,-2.22,310.37,292.90,275.43,153811.15,0.72,7.47,2.66,-6.51,死叉,中性
85,2024-11-26,002594,280.00,281.01,286.00,277.88,95206.00,283.39,294.13,,44.60,-3.86,-1.39,-2.47,311.53,294.13,276.73,153733.40,0.62,7.75,2.76,-6.58,死叉,中性
86,2024-11-25,002594,283.00,283.00,289.36,280.89,174533.00,284.79,295.35,,46.01,-3.41,-0.77,-2.63,312.29,295.35,278.41,154900.40,1.13,8.01,2.83,-5.44,死叉,中性
87,2024-11-22,002594,285.50,278.49,285.86,278.00,125142.00,285.92,296.46,,42.16,-2.98,-0.11,-2.87,312.88,296.46,280.03,151639.95,0.83,7.80,2.80,-6.52,死叉,中性
88,2024-11-21,002594,288.47,286.00,288.49,284.00,95533.00,288.23,297.94,,47.38,-1.94,0.60,-2.54,312.81,297.94,283.06,152373.85,0.63,8.56,2.99,-5.23,死叉,中性
89,2024-11-20,002594,288.01,288.46,290.40,285.50,106017.00,289.98,298.82,,49.23,-1.34,1.24,-2.58,312.78,298.82,284.86,152441.45,0.70,8.63,2.99,-3.96,死叉,中性
90,2024-11-19,002594,288.68,287.99,291.48,282.02,131947.00,292.40,299.84,,48.88,-0.81,1.89,-2.70,313.60,299.84,286.09,153475.35,0.86,9.17,3.19,-6.34,死叉,中性
91,2024-11-18,002594,290.01,288.68,292.95,286.66,116206.00,294.96,300.68,,49.35,-0.08,2.56,-2.64,313.40,300.68,287.97,152064.65,0.76,8.93,3.09,-5.96,死叉,中性
92,2024-11-15,002594,294.79,290.00,295.79,288.02,153236.00,297.08,301.57,,50.20,0.79,3.22,-2.43,313.19,301.57,289.95,154145.15,0.99,8.94,3.08,-0.11,死叉,中性
93,2024-11-14,002594,300.00,294.75,300.30,294.00,124583.00,298.66,302.08,,53.30,,,,312.39,302.08,291.78,156037.95,0.80,8.90,3.02,0.53,死叉,中性
94,2024-11-13,002594,298.00,300.57,301.33,295.30,145116.00,300.07,301.82,,57.32,,,,313.14,301.82,290.49,154931.65,0.94,9.02,3.00,-1.63,死叉,中性
95,2024-11-12,002594,300.15,300.81,310.00,299.31,246557.00,300.03,301.28,,57.49,,,,313.81,301.28,288.74,155191.95,1.59,9.11,3.03,-1.50,死叉,中性
96,2024-11-11,002594,295.00,299.29,299.47,292.60,180859.00,301.37,301.14,,56.75,,,,313.76,301.14,288.52,148971.55,1.21,9.00,3.01,-1.90,死叉,中性
97,2024-11-08,002594,307.12,297.90,307.52,297.00,166716.00,302.90,301.52,,56.10,,,,314.38,301.52,288.67,148546.85,1.12,9.02,3.03,-3.32,死叉,中性
98,2024-11-07,002594,295.03,301.78,301.88,294.00,150676.00,301.39,301.63,,58.36,,,,314.39,301.63,288.87,149531.95,1.01,8.86,2.94,-0.63,死叉,中性
99,2024-11-06,002594,308.00,300.36,309.75,298.00,184861.00,299.67,302.34,,57.78,,,,316.60,302.34,288.07,154506.50,1.20,9.59,3.19,-2.76,死叉,中性
100,2024-11-05,002594,304.06,307.50,308.44,300.50,167820.00,300.71,302.60,,61.79,,,,316.91,302.60,288.29,161559.40,1.04,9.37,3.05,0.90,死叉,中性
101,2024-11-04,002594,296.00,306.98,308.92,295.61,217319.00,300.29,303.60,,61.61,,,,321.62,303.60,285.58,175340.35,1.24,9.59,3.12,0.17,死叉,中性
102,2024-11-01,002594,293.20,290.31,295.60,290.10,143041.00,299.91,303.61,,55.35,,,,321.65,303.61,285.58,183914.65,0.78,9.01,3.10,-3.33,死叉,中性
103,2024-10-31,002594,302.01,293.19,302.99,293.00,240852.00,303.48,303.30,,56.84,,,,322.50,303.30,284.10,192258.70,1.25,9.32,3.18,1.30,死叉,中性
104,2024-10-30,002594,303.00,305.55,307.51,301.50,108448.00,305.57,302.12,,63.65,,,,326.21,302.12,278.03,187669.40,0.58,9.85,3.22,5.44,死叉,中性
105,2024-10-29,002594,309.00,305.40,310.28,303.80,118546.00,306.24,299.98,,63.60,,,,329.71,299.98,270.25,192532.50,0.62,10.58,3.46,2.48,死叉,中性
