,Date,Stock_Code,Open,Close,High,Low,Volume,Amount_100M,Amplitude,Price_Change_percent,Price_Change,Turnover_Rate
0,2025-04-10,002594,334.50,336.40,347.06,334.00,210896,71.66,4.02,3.64,11.80,1.81
1,2025-04-09,002594,319.80,324.60,328.00,313.66,211939,68.22,4.38,-0.89,-2.91,1.82
2,2025-04-08,002594,321.76,327.51,335.88,318.00,274644,89.25,5.56,1.79,5.75,2.36
3,2025-04-07,002594,333.34,322.26,337.70,321.76,206190,67.45,4.46,-9.86,-35.25,1.77
4,2025-04-03,002594,355.50,357.51,361.53,354.26,101023,36.19,2.02,-0.83,-2.99,0.87
5,2025-04-02,002594,365.00,360.50,365.67,358.88,117100,42.27,1.86,-1.37,-5.00,1.01
6,2025-04-01,002594,377.77,365.50,377.87,364.36,154072,56.63,3.60,-2.51,-9.40,1.33
7,2025-03-31,002594,380.00,374.90,383.28,374.00,115784,43.70,2.43,-1.99,-7.60,1.00
8,2025-03-28,002594,386.50,382.50,390.80,381.50,114940,44.29,2.41,-1.03,-4.00,0.99
9,2025-03-27,002594,376.10,386.50,391.28,376.09,144394,55.55,4.04,2.79,10.49,1.24
10,2025-03-26,002594,369.59,376.01,379.00,368.00,120205,45.04,2.98,1.74,6.42,1.03
11,2025-03-25,002594,377.98,369.59,379.60,368.98,123085,45.96,2.83,-1.54,-5.77,1.06
12,2025-03-24,002594,377.00,375.36,378.50,367.86,147894,55.23,2.86,0.90,3.36,1.27
13,2025-03-21,002594,393.01,372.00,393.31,370.00,282107,106.85,5.83,-7.00,-27.99,2.43
14,2025-03-20,002594,400.00,399.99,403.40,395.99,159413,63.73,1.87,0.74,2.92,1.37
15,2025-03-19,002594,384.53,397.07,399.00,382.54,188352,74.05,4.28,3.25,12.50,1.62
16,2025-03-18,002594,388.55,384.57,390.00,380.01,173339,66.73,2.63,1.14,4.32,1.49
17,2025-03-17,002594,382.32,380.25,383.00,375.96,133069,50.60,1.87,1.15,4.31,1.14
18,2025-03-14,002594,357.00,375.94,377.18,355.62,224697,82.93,6.08,6.05,21.44,1.93
19,2025-03-13,002594,351.87,354.50,357.36,351.13,102211,36.25,1.77,1.00,3.50,0.88
20,2025-03-12,002594,354.45,351.00,359.88,351.00,129511,45.93,2.53,0.18,0.62,1.11
21,2025-03-11,002594,345.00,350.38,351.77,344.88,95370,33.15,1.96,-0.18,-0.62,0.82
22,2025-03-10,002594,355.90,351.00,357.39,349.00,99177,34.84,2.35,-1.52,-5.40,0.85
23,2025-03-07,002594,358.90,356.40,361.00,355.24,87584,31.32,1.60,-0.70,-2.53,0.75
24,2025-03-06,002594,360.18,358.93,362.17,357.00,114601,41.21,1.46,1.40,4.97,0.99
25,2025-03-05,002594,347.00,353.96,355.19,347.00,139069,48.86,2.38,2.64,9.12,1.20
26,2025-03-04,002594,340.03,344.84,348.00,338.03,263453,90.63,2.77,-4.27,-15.37,2.27
27,2025-03-03,002594,369.00,360.21,370.00,357.79,152078,55.25,3.37,-0.44,-1.61,1.31
28,2025-02-28,002594,371.10,361.82,374.77,359.01,239304,87.62,4.20,-3.64,-13.68,2.06
29,2025-02-27,002594,382.00,375.50,383.99,371.01,168446,63.50,3.49,0.91,3.40,1.45
30,2025-02-26,002594,372.49,372.10,375.80,365.00,138529,51.26,2.90,-0.10,-0.39,1.19
31,2025-02-25,002594,370.00,372.49,380.00,368.81,161103,60.09,2.97,-1.01,-3.79,1.39
32,2025-02-24,002594,385.00,376.28,388.66,373.48,199407,75.86,3.96,-1.75,-6.72,1.72
33,2025-02-21,002594,366.00,383.00,386.50,365.23,239292,90.89,5.86,5.57,20.22,2.06
34,2025-02-20,002594,363.48,362.78,367.66,358.20,156937,56.96,2.64,1.19,4.28,1.35
35,2025-02-19,002594,353.52,358.50,360.00,353.00,161918,57.84,1.97,0.64,2.28,1.39
36,2025-02-18,002594,351.40,356.22,363.48,348.84,251797,89.78,4.20,2.22,7.72,2.17
37,2025-02-17,002594,356.05,348.50,358.80,344.50,232015,81.11,4.02,-2.12,-7.55,2.00
38,2025-02-14,002594,341.52,356.05,359.60,341.52,243645,85.75,5.30,4.32,14.75,2.10
39,2025-02-13,002594,341.20,341.30,346.35,339.50,199840,68.60,1.99,-1.09,-3.75,1.72
40,2025-02-12,002594,327.50,345.05,346.94,322.65,279357,94.51,7.36,4.59,15.15,2.40
41,2025-02-11,002594,339.30,329.90,340.30,326.01,280364,93.16,4.33,-0.07,-0.23,2.41
42,2025-02-10,002594,326.91,330.13,332.00,321.58,272711,89.09,3.19,0.99,3.23,2.35
43,2025-02-07,002594,320.00,326.90,330.00,314.00,487075,156.92,5.14,5.09,15.82,4.19
44,2025-02-06,002594,282.81,311.08,311.08,282.45,381459,114.17,10.12,10.00,28.28,3.28
45,2025-02-05,002594,282.73,282.80,286.75,281.60,145351,41.29,1.88,3.02,8.30,1.25
46,2025-01-27,002594,279.09,274.50,280.12,274.50,63408,17.56,2.01,-1.64,-4.58,0.55
47,2025-01-24,002594,276.51,279.08,280.50,276.00,68144,18.99,1.62,0.71,1.97,0.59
48,2025-01-23,002594,284.98,277.11,285.00,277.00,96174,26.91,2.83,-1.91,-5.39,0.83
49,2025-01-22,002594,285.00,282.50,286.30,279.80,81057,22.87,2.27,-1.24,-3.55,0.70
50,2025-01-21,002594,285.00,286.05,287.43,283.00,76441,21.84,1.56,0.57,1.62,0.66
51,2025-01-20,002594,279.00,284.43,286.43,278.92,135797,38.64,2.72,2.83,7.83,1.17
52,2025-01-17,002594,273.52,276.60,279.20,272.48,86142,23.77,2.46,1.41,3.84,0.74
53,2025-01-16,002594,274.70,272.76,277.33,270.53,72572,19.85,2.48,-0.70,-1.93,0.62
54,2025-01-15,002594,276.20,274.69,277.31,274.50,62336,17.19,1.02,-0.58,-1.61,0.54
55,2025-01-14,002594,266.34,276.30,277.15,266.01,125790,34.39,4.19,3.87,10.30,1.08
56,2025-01-13,002594,263.00,266.00,268.47,262.21,67214,17.87,2.35,-0.01,-0.02,0.58
57,2025-01-10,002594,269.00,266.02,270.39,264.78,80548,21.47,2.08,-1.25,-3.37,0.69
58,2025-01-09,002594,269.00,269.39,271.70,266.66,65613,17.67,1.87,0.08,0.21,0.56
59,2025-01-08,002594,272.99,269.18,273.99,265.81,109082,29.33,2.99,-1.77,-4.85,0.94
60,2025-01-07,002594,271.28,274.03,277.73,267.50,95722,26.27,3.77,1.01,2.75,0.82
61,2025-01-06,002594,271.94,271.28,273.89,269.03,82447,22.37,1.80,0.20,0.55,0.71
62,2025-01-03,002594,271.50,270.73,274.59,268.24,99365,26.93,2.34,-0.14,-0.37,0.85
63,2025-01-02,002594,283.00,271.10,283.08,269.42,168784,46.24,4.83,-4.09,-11.56,1.45
64,2024-12-31,002594,285.00,282.66,286.50,282.00,77620,22.02,1.58,-0.82,-2.33,0.67
65,2024-12-30,002594,287.20,284.99,289.50,283.33,82947,23.71,2.16,-0.45,-1.29,0.71
66,2024-12-27,002594,286.80,286.28,287.55,283.00,78683,22.50,1.60,0.50,1.42,0.68
67,2024-12-26,002594,285.92,284.86,286.80,284.00,67605,19.29,0.98,-0.37,-1.06,0.58
68,2024-12-25,002594,288.73,285.92,291.36,285.70,83391,24.06,1.96,-0.87,-2.50,0.72
69,2024-12-24,002594,279.89,288.42,288.51,279.13,142287,40.72,3.34,2.75,7.72,1.22
70,2024-12-23,002594,280.50,280.70,283.29,278.88,81516,22.91,1.57,0.18,0.50,0.70
71,2024-12-20,002594,285.01,280.20,286.75,280.20,96707,27.31,2.30,-1.82,-5.20,0.83
72,2024-12-19,002594,281.81,285.40,286.94,280.00,86729,24.65,2.44,0.26,0.75,0.75
73,2024-12-18,002594,283.25,284.65,286.88,282.63,84106,23.98,1.50,0.65,1.85,0.72
74,2024-12-17,002594,274.92,282.80,285.66,273.98,175682,49.60,4.25,2.86,7.85,1.51
75,2024-12-16,002594,276.52,274.95,278.18,273.58,71490,19.67,1.66,-0.56,-1.56,0.61
76,2024-12-13,002594,281.33,276.51,281.62,276.42,112359,31.30,1.83,-2.53,-7.17,0.97
77,2024-12-12,002594,280.10,283.68,283.68,278.40,100134,28.17,1.88,1.04,2.91,0.86
78,2024-12-11,002594,282.03,280.77,283.87,279.40,93360,26.24,1.58,-0.63,-1.78,0.80
79,2024-12-10,002594,293.00,282.55,294.00,282.00,175929,50.57,4.28,0.73,2.06,1.51
80,2024-12-09,002594,279.23,280.49,283.99,277.68,92153,25.90,2.25,0.07,0.21,0.79
81,2024-12-06,002594,275.67,280.28,281.98,274.01,124698,34.69,2.90,1.82,5.02,1.07
82,2024-12-05,002594,277.19,275.26,278.48,274.31,90268,24.86,1.49,-1.69,-4.72,0.78
83,2024-12-04,002594,281.34,279.98,283.33,278.80,85013,23.89,1.60,-0.94,-2.67,0.73
84,2024-12-03,002594,284.80,282.65,285.88,280.58,91450,25.85,1.88,0.09,0.25,0.79
85,2024-12-02,002594,276.61,282.40,284.00,274.08,151357,42.56,3.61,2.75,7.57,1.30
86,2024-11-29,002594,273.00,274.83,277.88,272.05,128005,35.16,2.12,0.09,0.25,1.10
87,2024-11-28,002594,281.20,274.58,281.56,273.00,158589,43.66,3.05,-2.28,-6.42,1.36
88,2024-11-27,002594,279.28,281.00,281.00,277.00,110003,30.68,1.42,0.00,-0.01,0.95
89,2024-11-26,002594,280.00,281.01,286.00,277.88,95206,26.86,2.87,-0.70,-1.99,0.82
90,2024-11-25,002594,283.00,283.00,289.36,280.89,174533,49.82,3.04,1.62,4.51,1.50
91,2024-11-22,002594,285.50,278.49,285.86,278.00,125142,35.30,2.75,-2.63,-7.51,1.08
92,2024-11-21,002594,288.47,286.00,288.49,284.00,95533,27.27,1.56,-0.85,-2.46,0.82
93,2024-11-20,002594,288.01,288.46,290.40,285.50,106017,30.50,1.70,0.16,0.47,0.91
94,2024-11-19,002594,288.68,287.99,291.48,282.02,131947,37.85,3.28,-0.24,-0.69,1.14
95,2024-11-18,002594,290.01,288.68,292.95,286.66,116206,33.64,2.17,-0.46,-1.32,1.00
96,2024-11-15,002594,294.79,290.00,295.79,288.02,153236,44.71,2.64,-1.61,-4.75,1.32
97,2024-11-14,002594,300.00,294.75,300.30,294.00,124583,36.91,2.10,-1.94,-5.82,1.07
98,2024-11-13,002594,298.00,300.57,301.33,295.30,145116,43.27,2.00,-0.08,-0.24,1.25
99,2024-11-12,002594,300.15,300.81,310.00,299.31,246557,75.20,3.57,0.51,1.52,2.12
100,2024-11-11,002594,295.00,299.29,299.47,292.60,180859,53.49,2.31,0.47,1.39,1.56
101,2024-11-08,002594,307.12,297.90,307.52,297.00,166716,50.22,3.49,-1.29,-3.88,1.43
102,2024-11-07,002594,295.03,301.78,301.88,294.00,150676,44.84,2.62,0.47,1.42,1.30
103,2024-11-06,002594,308.00,300.36,309.75,298.00,184861,56.12,3.82,-2.32,-7.14,1.59
104,2024-11-05,002594,304.06,307.50,308.44,300.50,167820,51.24,2.59,0.17,0.52,1.44
105,2024-11-04,002594,296.00,306.98,308.92,295.61,217319,66.00,4.58,5.74,16.67,1.87
106,2024-11-01,002594,293.20,290.31,295.60,290.10,143041,41.74,1.88,-0.98,-2.88,1.23
107,2024-10-31,002594,302.01,293.19,302.99,293.00,240852,71.28,3.27,-4.05,-12.36,2.07
108,2024-10-30,002594,303.00,305.55,307.51,301.50,108448,33.01,1.97,0.05,0.15,0.93
109,2024-10-29,002594,309.00,305.40,310.28,303.80,118546,36.36,2.12,0.10,0.30,1.02
110,2024-10-28,002594,309.00,305.10,309.00,301.75,109324,33.23,2.35,-0.99,-3.04,0.94
111,2024-10-25,002594,304.00,308.14,311.80,304.00,139820,43.06,2.57,1.47,4.46,1.20
112,2024-10-24,002594,308.88,303.68,309.97,302.58,96885,29.60,2.39,-1.68,-5.20,0.83
113,2024-10-23,002594,304.75,308.88,311.80,302.68,126695,39.11,2.99,1.36,4.13,1.09
114,2024-10-22,002594,305.00,304.75,310.12,303.00,103733,31.75,2.32,-0.55,-1.70,0.89
115,2024-10-21,002594,303.00,306.45,308.60,300.90,157816,48.20,2.56,2.05,6.15,1.36
116,2024-10-18,002594,289.45,300.30,306.20,288.08,191092,56.74,6.26,3.76,10.88,1.64
117,2024-10-17,002594,292.51,289.42,297.85,289.12,102457,30.05,3.01,-0.13,-0.37,0.88
118,2024-10-16,002594,293.00,289.79,295.98,287.00,150322,43.63,3.01,-2.76,-8.21,1.29
119,2024-10-15,002594,305.50,298.00,308.38,298.00,122149,36.96,3.38,-2.93,-9.00,1.05
120,2024-10-14,002594,300.99,307.00,309.98,300.20,172365,52.68,3.26,2.32,6.95,1.48
121,2024-10-11,002594,314.02,300.05,314.02,296.01,186418,56.72,5.70,-5.01,-15.84,1.60
122,2024-10-10,002594,310.00,315.89,322.00,309.98,250167,79.19,3.93,3.34,10.20,2.15
123,2024-10-09,002594,315.00,305.69,320.71,300.50,325919,101.67,6.17,-6.63,-21.69,2.80
124,2024-10-08,002594,338.04,327.38,338.04,307.31,443439,144.85,10.00,6.53,20.07,3.81
125,2024-09-30,002594,290.00,307.31,308.08,290.00,388805,116.41,6.37,8.21,23.32,3.34
126,2024-09-27,002594,273.00,283.99,291.99,271.50,309922,86.83,7.60,5.33,14.38,2.67
127,2024-09-26,002594,264.00,269.61,269.70,262.10,149066,39.60,2.89,2.59,6.81,1.28
128,2024-09-25,002594,258.00,262.80,269.66,257.66,205710,54.43,4.72,3.35,8.51,1.77
129,2024-09-24,002594,253.00,254.29,255.50,246.76,156495,39.49,3.50,1.72,4.29,1.35
