,Date,Stock_Code,Open,Close,High,Low,Volume,Amount_100M,Amplitude,Price_Change_percent,Price_Change,Turnover_Rate
0,2025-04-10,600487,15.35,15.27,15.51,15.17,562391,8.63,2.27,1.94,0.29,2.30
1,2025-04-09,600487,14.31,14.98,15.12,13.86,658894,9.60,8.64,2.67,0.39,2.69
2,2025-04-08,600487,14.35,14.59,14.72,14.29,652974,9.47,2.97,0.76,0.11,2.67
3,2025-04-07,600487,14.99,14.48,15.30,14.48,655536,9.65,5.10,-10.01,-1.61,2.68
4,2025-04-03,600487,16.34,16.09,16.49,15.94,531290,8.61,3.33,-2.48,-0.41,2.17
5,2025-04-02,600487,16.43,16.50,16.71,16.40,356599,5.90,1.88,0.24,0.04,1.46
6,2025-04-01,600487,16.75,16.46,16.80,16.45,518413,8.61,2.10,-1.08,-0.18,2.12
7,2025-03-31,600487,16.98,16.64,17.11,16.50,582428,9.75,3.56,-2.86,-0.49,2.38
8,2025-03-28,600487,16.86,17.13,17.40,16.82,669984,11.46,3.43,1.36,0.23,2.74
9,2025-03-27,600487,17.04,16.90,17.19,16.62,653381,11.07,3.35,-0.76,-0.13,2.67
10,2025-03-26,600487,17.09,17.03,17.46,17.01,693127,11.91,2.61,-1.05,-0.18,2.83
11,2025-03-25,600487,17.74,17.21,17.98,17.11,1242973,21.78,4.83,-4.39,-0.79,5.08
12,2025-03-24,600487,17.94,18.00,18.05,17.19,1611538,28.35,4.89,2.33,0.41,6.59
13,2025-03-21,600487,17.30,17.59,18.28,17.22,2108044,37.47,6.22,3.23,0.55,8.62
14,2025-03-20,600487,16.70,17.04,17.25,16.60,950393,16.21,3.89,1.85,0.31,3.89
15,2025-03-19,600487,16.96,16.73,16.97,16.63,561509,9.40,2.01,-1.24,-0.21,2.30
16,2025-03-18,600487,16.86,16.94,17.43,16.80,773550,13.11,3.72,0.12,0.02,3.16
17,2025-03-17,600487,17.55,16.92,17.60,16.87,1362948,23.38,4.32,0.12,0.02,5.57
18,2025-03-14,600487,16.34,16.90,17.12,16.34,1581335,26.67,4.83,4.64,0.75,6.47
19,2025-03-13,600487,16.10,16.15,16.35,15.95,565159,9.12,2.49,0.44,0.07,2.31
20,2025-03-12,600487,16.01,16.08,16.24,15.90,557677,8.97,2.14,1.01,0.16,2.28
21,2025-03-11,600487,15.70,15.92,15.92,15.61,359432,5.68,1.95,0.32,0.05,1.47
22,2025-03-10,600487,16.00,15.87,16.04,15.71,452210,7.16,2.06,-1.12,-0.18,1.85
23,2025-03-07,600487,16.26,16.05,16.35,15.95,590029,9.52,2.45,-1.53,-0.25,2.41
24,2025-03-06,600487,15.95,16.30,16.38,15.87,806003,13.01,3.22,2.90,0.46,3.30
25,2025-03-05,600487,15.85,15.84,15.96,15.69,400509,6.33,1.72,0.76,0.12,1.64
26,2025-03-04,600487,15.47,15.72,15.72,15.41,326862,5.10,1.99,0.96,0.15,1.34
27,2025-03-03,600487,15.60,15.57,15.85,15.46,491473,7.69,2.51,0.06,0.01,2.01
28,2025-02-28,600487,16.15,15.56,16.17,15.55,799936,12.62,3.81,-4.31,-0.70,3.27
29,2025-02-27,600487,16.70,16.26,16.74,16.04,806688,13.15,4.19,-2.63,-0.44,3.30
30,2025-02-26,600487,16.60,16.70,16.80,16.43,584930,9.75,2.25,1.33,0.22,2.39
31,2025-02-25,600487,16.60,16.48,16.80,16.42,714501,11.87,2.26,-2.20,-0.37,2.92
32,2025-02-24,600487,16.60,16.85,16.99,16.36,1099910,18.41,3.82,2.12,0.35,4.50
33,2025-02-21,600487,15.68,16.50,16.60,15.65,1407752,22.94,6.06,5.30,0.83,5.76
34,2025-02-20,600487,15.84,15.67,15.85,15.51,471694,7.37,2.15,-0.70,-0.11,1.93
35,2025-02-19,600487,15.43,15.78,15.84,15.43,488253,7.67,2.65,2.07,0.32,2.00
36,2025-02-18,600487,15.90,15.46,15.94,15.40,565859,8.87,3.40,-2.77,-0.44,2.31
37,2025-02-17,600487,16.09,15.90,16.18,15.78,712477,11.36,2.50,-0.63,-0.10,2.91
38,2025-02-14,600487,15.71,16.00,16.22,15.69,700525,11.21,3.36,1.39,0.22,2.86
39,2025-02-13,600487,16.17,15.78,16.17,15.65,617973,9.80,3.22,-2.29,-0.37,2.53
40,2025-02-12,600487,16.03,16.15,16.15,15.90,538688,8.64,1.56,0.56,0.09,2.20
41,2025-02-11,600487,16.00,16.06,16.15,15.86,554577,8.88,1.81,0.25,0.04,2.27
42,2025-02-10,600487,16.03,16.02,16.10,15.90,538911,8.62,1.25,-0.06,-0.01,2.20
43,2025-02-07,600487,15.56,16.03,16.28,15.51,863183,13.75,4.96,3.29,0.51,3.53
44,2025-02-06,600487,15.30,15.52,15.63,15.08,703878,10.83,3.59,1.44,0.22,2.88
45,2025-02-05,600487,15.79,15.30,15.89,15.11,683549,10.44,4.98,-2.24,-0.35,2.80
46,2025-01-27,600487,16.42,15.65,16.44,15.65,823758,13.08,4.80,-4.86,-0.80,3.37
47,2025-01-24,600487,15.71,16.45,16.71,15.65,1086474,17.90,6.75,4.71,0.74,4.44
48,2025-01-23,600487,16.07,15.71,16.24,15.70,460632,7.35,3.40,-0.95,-0.15,1.88
49,2025-01-22,600487,15.71,15.86,16.15,15.60,495194,7.84,3.47,0.19,0.03,2.03
50,2025-01-21,600487,15.63,15.83,16.00,15.42,567019,8.91,3.75,2.46,0.38,2.32
51,2025-01-20,600487,16.00,15.45,16.05,15.13,1000465,15.56,5.68,-4.57,-0.74,4.09
52,2025-01-17,600487,15.80,16.19,16.34,15.77,543541,8.81,3.62,2.73,0.43,2.22
53,2025-01-16,600487,15.65,15.76,16.03,15.61,334225,5.28,2.70,1.16,0.18,1.37
54,2025-01-15,600487,15.95,15.58,15.95,15.49,369152,5.77,2.88,-2.32,-0.37,1.51
