,date,stock_code,open,close,high,low,volume,MA5,MA20,MA60,RSI,MACD,Signal_Line,MACD_hist,BB_upper,BB_middle,BB_lower,Volume_MA,Volume_Ratio,ATR,Volatility,ROC,MACD_signal,RSI_signal
0,2025-04-03,000063,34.60,34.76,34.95,34.33,694271.00,34.63,35.95,38.68,39.88,-1.19,-1.20,0.01,38.86,35.95,33.04,983724.10,0.71,0.77,2.21,-3.98,金叉,中性
1,2025-04-02,000063,34.44,35.04,35.18,34.44,893853.00,34.59,36.11,38.77,41.18,-1.24,-1.20,-0.04,39.10,36.11,33.13,1037443.65,0.86,0.78,2.24,-4.68,死叉,中性
2,2025-04-01,000063,34.31,34.44,34.78,34.04,641639.00,34.45,36.21,38.87,37.10,-1.32,-1.19,-0.13,39.18,36.21,33.24,1046460.70,0.61,0.86,2.50,-7.89,死叉,中性
3,2025-03-31,000063,34.51,34.22,34.58,33.81,787469.00,34.40,36.34,38.96,35.58,-1.34,-1.16,-0.18,39.21,36.34,33.47,1093687.90,0.72,1.06,3.08,-8.23,死叉,中性
4,2025-03-28,000063,34.60,34.68,34.92,34.30,648063.00,34.53,36.44,39.08,37.34,-1.32,-1.11,-0.21,39.13,36.44,33.75,1182893.35,0.55,1.05,3.02,-7.91,死叉,中性
5,2025-03-27,000063,34.26,34.57,34.98,33.97,832038.00,34.62,36.64,39.13,36.64,-1.33,-1.06,-0.27,39.37,36.64,33.90,1233986.45,0.67,1.06,3.06,-6.99,死叉,中性
6,2025-03-26,000063,34.20,34.32,34.65,34.20,582439.00,34.95,36.93,39.17,35.13,-1.30,-0.99,-0.31,39.98,36.93,33.88,1293052.85,0.45,1.07,3.11,-11.50,死叉,中性
7,2025-03-25,000063,34.84,34.21,34.84,34.12,730542.00,35.43,37.33,39.20,34.49,-1.23,-0.91,-0.32,40.97,37.33,33.69,1343988.40,0.54,1.15,3.35,-7.69,死叉,中性
8,2025-03-24,000063,35.00,34.89,35.20,34.11,1167983.00,36.07,37.74,39.25,36.56,-1.10,-0.83,-0.27,41.75,37.74,33.73,1408402.45,0.83,1.15,3.30,-6.23,死叉,中性
9,2025-03-21,000063,36.01,35.11,36.19,35.00,1275809.00,36.55,38.19,39.30,37.23,-1.00,-0.76,-0.24,42.80,38.19,33.58,1495098.35,0.85,1.21,3.45,-5.85,死叉,中性
10,2025-03-20,000063,36.77,36.20,36.80,36.08,862792.00,37.06,38.61,39.29,40.66,-0.87,-0.70,-0.17,43.53,38.61,33.68,1625069.85,0.53,1.36,3.75,-4.74,死叉,中性
11,2025-03-19,000063,37.13,36.76,37.16,36.64,858678.00,37.25,38.79,39.24,42.53,-0.81,-0.66,-0.15,43.60,38.79,33.97,1642813.45,0.52,1.44,3.92,-0.68,死叉,中性
