,Date,Stock_Code,Open,Close,High,Low,Volume,Amount_100M,Amplitude,Price_Change_percent,Price_Change,Turnover_Rate
0,2025-04-10,000063,31.70,31.64,32.60,31.63,1265159,40.43,3.13,2.20,0.68,3.14
1,2025-04-09,000063,29.51,30.96,31.20,28.67,1475244,44.62,8.33,1.98,0.60,3.66
2,2025-04-08,000063,31.00,30.36,31.65,29.63,1568804,47.98,6.46,-2.94,-0.92,3.90
3,2025-04-07,000063,32.40,31.64,32.62,31.28,639380,20.32,3.86,-8.98,-3.12,1.59
4,2025-04-03,000063,34.60,34.76,34.95,34.33,694271,24.09,1.77,-0.80,-0.28,1.72
5,2025-04-02,000063,34.44,35.04,35.18,34.44,893853,31.23,2.15,1.74,0.60,2.22
6,2025-04-01,000063,34.31,34.44,34.78,34.04,641639,22.07,2.16,0.64,0.22,1.59
7,2025-03-31,000063,34.51,34.22,34.58,33.81,787469,26.88,2.22,-1.33,-0.46,1.96
8,2025-03-28,000063,34.60,34.68,34.92,34.30,648063,22.42,1.79,0.32,0.11,1.61
9,2025-03-27,000063,34.26,34.57,34.98,33.97,832038,28.79,2.94,0.73,0.25,2.07
10,2025-03-26,000063,34.20,34.32,34.65,34.20,582439,20.06,1.32,0.32,0.11,1.45
11,2025-03-25,000063,34.84,34.21,34.84,34.12,730542,25.11,2.06,-1.95,-0.68,1.81
12,2025-03-24,000063,35.00,34.89,35.20,34.11,1167983,40.46,3.10,-0.63,-0.22,2.90
13,2025-03-21,000063,36.01,35.11,36.19,35.00,1275809,45.20,3.29,-3.01,-1.09,3.17
14,2025-03-20,000063,36.77,36.20,36.80,36.08,862792,31.41,1.96,-1.52,-0.56,2.14
15,2025-03-19,000063,37.13,36.76,37.16,36.64,858678,31.63,1.39,-1.68,-0.63,2.13
16,2025-03-18,000063,37.36,37.39,37.77,37.26,734792,27.52,1.37,0.27,0.10,1.82
17,2025-03-17,000063,37.59,37.29,37.60,37.10,824722,30.75,1.33,-0.98,-0.37,2.05
18,2025-03-14,000063,36.90,37.66,37.75,36.80,1231941,46.12,2.56,1.32,0.49,3.06
19,2025-03-13,000063,38.00,37.17,38.35,36.96,1669849,62.64,3.58,-4.15,-1.61,4.15
20,2025-03-12,000063,37.08,38.78,40.33,36.88,2527824,97.55,9.31,4.64,1.72,6.28
21,2025-03-11,000063,36.55,37.06,37.23,36.46,690092,25.46,2.07,-0.40,-0.15,1.71
22,2025-03-10,000063,37.19,37.21,37.59,36.85,792303,29.41,1.98,-0.21,-0.08,1.97
23,2025-03-07,000063,37.89,37.29,38.21,37.06,1227383,46.10,3.03,-1.87,-0.71,3.05
24,2025-03-06,000063,37.65,38.00,38.58,37.65,1768662,67.52,2.51,2.67,0.99,4.39
25,2025-03-05,000063,37.00,37.01,37.36,36.52,1074194,39.62,2.27,0.00,0.00,2.67
26,2025-03-04,000063,35.89,37.01,37.50,35.55,1586183,57.78,5.40,2.41,0.87,3.94
27,2025-03-03,000063,37.36,36.14,37.50,35.41,2571578,93.24,5.41,-6.52,-2.52,6.39
28,2025-02-28,000063,39.99,38.66,40.25,38.60,1669925,65.48,4.08,-4.50,-1.82,4.15
29,2025-02-27,000063,42.10,40.48,42.55,40.01,2013366,82.46,6.01,-4.26,-1.80,5.00
30,2025-02-26,000063,42.60,42.28,42.90,41.58,1601150,67.56,3.11,-0.52,-0.22,3.98
31,2025-02-25,000063,42.40,42.50,43.70,41.87,2018823,85.86,4.18,-2.97,-1.30,5.01
32,2025-02-24,000063,42.92,43.80,44.08,42.40,2901901,125.62,3.87,0.90,0.39,7.21
33,2025-02-21,000063,40.38,43.41,43.80,39.83,3875239,162.60,9.97,9.02,3.59,9.62
34,2025-02-20,000063,40.19,39.82,40.34,39.42,1217664,48.46,2.28,-1.41,-0.57,3.02
35,2025-02-19,000063,39.12,40.39,40.79,38.96,1780757,71.59,4.66,2.80,1.10,4.42
36,2025-02-18,000063,40.32,39.29,40.55,39.15,1648229,65.70,3.42,-3.94,-1.61,4.09
37,2025-02-17,000063,40.20,40.90,41.40,39.95,2238283,91.24,3.65,2.92,1.16,5.56
38,2025-02-14,000063,39.42,39.74,40.18,39.15,1889271,74.89,2.59,-0.08,-0.03,4.69
39,2025-02-13,000063,41.50,39.77,41.50,39.58,2786776,111.98,4.58,-5.17,-2.17,6.92
40,2025-02-12,000063,41.51,41.94,41.94,40.59,2395058,98.94,3.24,0.74,0.31,5.95
41,2025-02-11,000063,42.01,41.63,42.31,41.41,1590993,66.43,2.13,-1.47,-0.62,3.95
42,2025-02-10,000063,42.80,42.25,42.80,41.10,2247084,94.14,3.96,-1.54,-0.66,5.58
43,2025-02-07,000063,43.00,42.91,44.30,41.99,3287620,141.33,5.32,-1.13,-0.49,8.16
44,2025-02-06,000063,42.25,43.40,44.66,42.20,2626993,114.62,5.78,1.97,0.84,6.52
45,2025-02-05,000063,41.51,42.56,42.98,41.40,2676284,113.17,3.95,6.45,2.58,6.65
46,2025-01-27,000063,42.70,39.98,42.70,39.98,2358798,96.53,6.34,-6.85,-2.94,5.86
47,2025-01-24,000063,41.02,42.92,43.17,40.95,2680087,113.80,5.40,4.43,1.82,6.65
